ticker,event,sector,action,direction,alpha,beta_mkt,beta_smb,beta_hml,r_squared,n_obs
MS,2023-03-23,Banks,+25 bp,hike,0.0006888688230923742,1.1313104851756828,0.25500396152982663,0.4938163434484185,0.7217259145737963,220
MS,2024-09-19,Banks,-50 bp,cut,-0.0004488283347579084,1.0941404986311485,0.08306954940486357,1.0632805235063643,0.4942178651435155,220
MS,2024-12-19,Banks,-25 bp,cut,0.0005888321893659494,1.1197403669892574,0.041121376046275346,0.898804489360824,0.41778141677084846,220
MS,2025-09-18,Banks,-25 bp,cut,0.0011566514106111766,1.5371746485025015,0.14737997136546152,0.905698302240227,0.756586556393806,220
MS,2025-10-30,Banks,-25 bp,cut,0.0004820994983911107,1.5510976188861023,0.02439986354235756,0.8729416853139769,0.7808258337466821,220
MS,2025-12-11,Banks,-25 bp,cut,0.0004802223574185008,1.4656912332317231,-0.021585213669810407,0.5347560333014086,0.7597991456657803,220
O,2022-03-17,REITs,+25 bp,hike,0.00033139784078524865,0.6670188518681656,-0.1887786370338534,0.05540102429700313,0.228764841275774,220
O,2022-06-16,REITs,+75 bp,hike,0.0002088437770805298,0.6265273777250214,-0.08246809595647397,0.19320340338849346,0.2943717807304468,220
O,2022-09-22,REITs,+75 bp,hike,0.0008186103114150613,0.5666761918020247,0.024545217340841655,0.17382088890213596,0.3023873045668215,220
O,2023-03-23,REITs,+25 bp,hike,0.0003481894313599436,0.5935194706581608,-0.007335181942939278,0.1493743570012322,0.36228248589458134,220
O,2024-09-19,REITs,-50 bp,cut,0.00034753804634824826,0.43046691395627446,0.26438075810761197,0.5903599945010538,0.245084639609094,220
O,2024-12-19,REITs,-25 bp,cut,0.0002645883636584637,0.22680439553350118,0.18278403084170197,0.4973137112732334,0.14712693774114916,220
O,2025-09-18,REITs,-25 bp,cut,-0.00043883895378041726,0.2883471934182142,-0.1457007836324577,0.3754588269548954,0.09495809085547191,220
O,2025-10-30,REITs,-25 bp,cut,-0.00017196679653682745,0.28440811717021336,-0.1427722932486575,0.3294721775025975,0.09131338701974645,220
O,2025-12-11,REITs,-25 bp,cut,6.455311668658809e-05,0.36720644395042124,-0.14920727461986938,0.5741542975278178,0.17779642137807983,220
SPG,2022-03-17,REITs,+25 bp,hike,0.0007681364889256567,1.2414230426988817,0.5202361539891678,0.6099785792895756,0.5199716155985177,220
SPG,2022-06-16,REITs,+75 bp,hike,1.433868034256291e-05,1.247910828386642,0.5831834373870601,0.5859457072428662,0.5078938749701323,220
SPG,2022-09-22,REITs,+75 bp,hike,-0.0005551100844808257,1.1019742939796286,0.5461607593955005,0.4554060858527767,0.5311409314529146,220
SPG,2023-03-23,REITs,+25 bp,hike,0.0001576426970402765,1.066161421466723,0.843561869286368,0.5240634757856866,0.6480354321871641,220
SPG,2024-09-19,REITs,-50 bp,cut,0.0009019273025540031,0.9203308467890565,0.3266868393209237,0.5992906583378664,0.42962228905576205,220
SPG,2024-12-19,REITs,-25 bp,cut,0.0005247517227748716,0.7542995210490309,0.34924648927918134,0.3540249538455271,0.31237391164839956,220
SPG,2025-09-18,REITs,-25 bp,cut,-0.00010555811989336136,0.9676622290164688,0.1687628270023564,0.37512755300288836,0.5129623469048747,220
SPG,2025-10-30,REITs,-25 bp,cut,-0.00010039867723396424,0.9596561759314675,0.2272423749318052,0.38263702387885273,0.5191971726109199,220
SPG,2025-12-11,REITs,-25 bp,cut,-0.0004139749117954498,1.0211847599314345,0.25205854077875334,0.618516240864194,0.5586096958437601,220
PLD,2022-03-17,REITs,+25 bp,hike,0.0015614088303694453,0.6459635354779136,-0.3320450731438155,-0.1710467049627743,0.24450091348875225,220
PLD,2022-06-16,REITs,+75 bp,hike,0.0011510926855107738,0.70925191596184,-0.4383889159649855,-0.08345627753337925,0.29657925794532436,220
PLD,2022-09-22,REITs,+75 bp,hike,0.0006944270568586223,0.8988462655302677,-0.33314090972865,-0.03895707169345382,0.42966260697993275,220
PLD,2023-03-23,REITs,+25 bp,hike,-0.0003131138809710322,1.0342870619685336,-0.07285217550157647,-0.05646649704788415,0.5311580857464434,220
PLD,2024-09-19,REITs,-50 bp,cut,-0.0005989186683162344,1.055219008879206,0.49108540365863607,0.5136977599699444,0.43931840659733157,220
PLD,2024-12-19,REITs,-25 bp,cut,-0.0009810541475653025,0.8041507557568848,0.40774177233526,0.444129008265692,0.3014776624040544,220
PLD,2025-09-18,REITs,-25 bp,cut,-0.0009121879202206573,0.886684229332736,0.49874047291198653,0.5373451422848392,0.424075563916938,220
PLD,2025-10-30,REITs,-25 bp,cut,-0.00035053494877802853,0.8823729301913317,0.44086458537098494,0.5204563544505957,0.4144510975983169,220
PLD,2025-12-11,REITs,-25 bp,cut,0.0003133454968192639,0.9827380076164474,0.5811465002837399,0.8325205040109214,0.49765739485401306,220
EQIX,2022-03-17,REITs,+25 bp,hike,0.0004889900904003287,0.4155383960025809,-0.3072079023149539,-0.5283205893128471,0.2280191358933762,220
EQIX,2022-06-16,REITs,+75 bp,hike,2.0273911428127863e-05,0.5271476941119861,-0.41185467555151206,-0.5228954725002282,0.2886741228705326,220
EQIX,2022-09-22,REITs,+75 bp,hike,-9.188051170023838e-05,0.7349749097798649,-0.2501339723470037,-0.31547747471891785,0.368613039173489,220
EQIX,2023-03-23,REITs,+25 bp,hike,0.0005605158241600739,0.9436798122378132,0.14404505142199345,-0.068807892274011,0.47900199878566885,220
EQIX,2024-09-19,REITs,-50 bp,cut,-0.0004663024193528793,0.9706144677266295,0.11902071017614058,0.22975266018759388,0.2419443998207561,220
EQIX,2024-12-19,REITs,-25 bp,cut,1.616238072500217e-05,0.801665642707276,0.044950851184744754,0.1754656299708987,0.16448700128661053,220
EQIX,2025-09-18,REITs,-25 bp,cut,-0.0007643735407863916,0.6706681976062435,0.09520120611977416,-0.19444454561926117,0.29129232806717265,220
EQIX,2025-10-30,REITs,-25 bp,cut,-0.0009755399797880386,0.6915492778376328,0.1133561934988736,-0.1613146197695487,0.29787755755627454,220
EQIX,2025-12-11,REITs,-25 bp,cut,-0.0010176092308976357,0.7338253082345174,0.22067926489927187,0.014261455127398376,0.3227955030914035,220
AMT,2022-03-17,REITs,+25 bp,hike,0.0002748417505600472,0.670209477285167,-0.36950346478935286,-0.3090126938502823,0.27776796967361794,220
AMT,2022-06-16,REITs,+75 bp,hike,-0.000268981823454001,0.5447365200400024,-0.38647625426625065,-0.17635200746222707,0.22987061656125773,220
AMT,2022-09-22,REITs,+75 bp,hike,0.00030639957018449945,0.6342875519030755,-0.34245753281773983,-0.09537093173714065,0.2785219882204113,220
AMT,2023-03-23,REITs,+25 bp,hike,0.0001750102306788653,0.826304753375934,-0.12655386549107564,0.0009648771936578079,0.3912857993465776,220
AMT,2024-09-19,REITs,-50 bp,cut,0.0009261043232971585,0.45967259825386425,0.34594169105067474,0.6406270709548498,0.18891573500890346,220
AMT,2024-12-19,REITs,-25 bp,cut,0.00032080787650686486,0.0382506489430655,0.3422275842139239,0.49145289338888704,0.10269081060840801,220
AMT,2025-09-18,REITs,-25 bp,cut,-0.0006094931178322262,0.0925882275631908,-0.27392745207039204,0.2637210877086654,0.02078697304376753,220
AMT,2025-10-30,REITs,-25 bp,cut,-0.00041327123527497414,0.08592839687439156,-0.22724505004986972,0.2388011171938044,0.01733854760199849,220
AMT,2025-12-11,REITs,-25 bp,cut,-0.0004959293176653961,0.188425767477931,-0.12074762542730262,0.6651768463973147,0.07652561463118657,220
WELL,2022-03-17,REITs,+25 bp,hike,0.000520667992432702,0.7537926675938181,0.08081710266356784,0.25242944957699365,0.19631041786431647,220
WELL,2022-06-16,REITs,+75 bp,hike,0.0006186911834639567,0.6921953974491013,0.22550721043378857,0.38416777846356887,0.23644912023494902,220
